"","tau","estCoef","lowerCI","upperCI","CL"
"1",0.02,-1.20653584809597,-1.38226167424951,-1.02109628449857,0.0134434550721208
"2",0.04,-1.35638837623246,-1.44603935755185,-1.12536988351903,0.0225291818100965
"3",0.06,-1.40969929395305,-1.51711760873209,-1.27233761171067,0.0307372076885383
"4",0.08,-1.43504189461249,-1.5428683879553,-1.28032061184598,0.0387207614269913
"5",0.1,-1.46329653212725,-1.56465053690227,-1.25009135819417,0.0456955828057748
"6",0.12,-1.40193046053842,-1.55264016572441,-1.19046879171364,0.0523210176819282
"7",0.14,-1.31465093686086,-1.50014430218876,-1.16472929557567,0.0572413943203157
"8",0.16,-1.21985309465237,-1.48003759455775,-1.14874368569298,0.0631126586378361
"9",0.18,-1.21445102189078,-1.4274027754722,-1.09369439598914,0.0681393888202181
"10",0.2,-1.16078220585105,-1.29097325964616,-1.09775441750908,0.0736026842874477
"11",0.22,-1.16691828020464,-1.28489028955052,-1.08900454010659,0.0775318760672345
"12",0.24,-1.17312912175755,-1.31550629186288,-1.04522240356413,0.0818438486580563
"13",0.26,-1.20379656509596,-1.32721978405571,-1.0171163454324,0.0864483769642877
"14",0.28,-1.18888952538891,-1.29470562049001,-1.00918438361833,0.0903651387821975
"15",0.3,-1.15566660275784,-1.32260055150133,-1.00675693104184,0.0938652112098163
"16",0.32,-1.12964770738465,-1.30714086424166,-0.994974962018342,0.0960026158111161
"17",0.34,-1.10873976837856,-1.27935293267968,-0.971466474302139,0.0984426450438575
"18",0.36,-1.10856595245613,-1.2679985931008,-0.989192343736023,0.100748240348055
"19",0.38,-1.10631965077841,-1.22986127176672,-0.959526092503122,0.101861919637569
"20",0.4,-1.07776468341898,-1.25290704912969,-0.951140242482018,0.104059148434709
"21",0.42,-1.07970185360866,-1.25325806624216,-0.952880404820415,0.106239259562131
"22",0.44,-1.08231819826954,-1.23143095254154,-0.953912228987371,0.106405271827798
"23",0.46,-1.05375128630508,-1.22408750407103,-0.902441061343936,0.105634086558937
"24",0.48,-1.03142602277759,-1.22960306700488,-0.91622431989841,0.105708993781072
"25",0.5,-1.06146752609389,-1.20924724186709,-0.904450221505852,0.105769662426115
"26",0.52,-1.05448107583842,-1.19343280477739,-0.865407076262032,0.10546476154585
"27",0.54,-1.05823837506866,-1.17174333552996,-0.848580863421928,0.105135616165202
"28",0.56,-1.07082678970345,-1.18617478640932,-0.879886653152697,0.104358497463461
"29",0.58,-1.0900741759374,-1.19264886758566,-0.884835311919878,0.102539669600709
"30",0.6,-1.0828168283875,-1.23144738760936,-0.87272605552111,0.100767574442865
"31",0.62,-1.08373229022812,-1.20972914727152,-0.879583324524039,0.0999565028938642
"32",0.64,-1.04963465122896,-1.25573180856523,-0.866381095750727,0.0982762816372839
"33",0.66,-1.08107404914853,-1.27000886121394,-0.867868592585888,0.0955827327497256
"34",0.68,-1.14021223801551,-1.31022305982809,-0.889090994810847,0.0936558649411092
"35",0.7,-1.11798272160719,-1.29679709640207,-0.866027947894391,0.0909115368971155
"36",0.72,-1.12702404357583,-1.28387167127191,-0.821550169822035,0.0878456392666576
"37",0.74,-1.11169166102506,-1.2558315633266,-0.837395932135494,0.0854271903004483
"38",0.76,-1.08797455737762,-1.2342329677649,-0.741853282550726,0.081981847224973
"39",0.78,-1.08483518784412,-1.20682714848602,-0.699682462031822,0.077141286885922
"40",0.8,-1.02286800217099,-1.17066623238135,-0.696454138114046,0.0728393618212996
"41",0.82,-0.976493984051127,-1.09975264362405,-0.661336083914099,0.0677580875498102
"42",0.84,-0.917507736483386,-1.05428643064645,-0.650001068630518,0.0630427102554803
"43",0.86,-0.87537092755747,-0.977894718951452,-0.634597686363569,0.056903400952851
"44",0.88,-0.78077606483433,-0.955984973807064,-0.632497618935897,0.0504734836106296
"45",0.9,-0.74100170056315,-0.879179838952608,-0.623704677934937,0.0436405379874744
"46",0.92,-0.710922765716107,-0.878200570415246,-0.6302363118678,0.0359746992629639
"47",0.94,-0.70120470602114,-0.828512908784087,-0.666131756809429,0.0282470311917732
"48",0.96,-0.722890911073747,-0.848301453241273,-0.674138850094137,0.0187679485010001
"49",0.98,-0.907329948917115,-0.913897729649835,-0.635221688468014,0.0106117113026894
